satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Loyal Customer,59,Business travel,Business,1470,4,4,4,5,4,4,4,4,4,5,4,3,7,0.0
dissatisfied,disloyal Customer,22,Business travel,Eco,1771,1,1,4,4,5,4,3,4,3,1,4,4,0,0.0
satisfied,Loyal Customer,55,Business travel,Business,3657,5,0,2,4,4,4,4,4,4,3,4,3,12,8.0
satisfied,Loyal Customer,41,Business travel,Business,1796,4,0,1,2,5,3,3,3,3,5,3,3,0,0.0
dissatisfied,Loyal Customer,42,Business travel,Eco,1709,3,3,3,2,2,2,4,4,4,1,3,2,0,0.0
dissatisfied,Loyal Customer,36,Business travel,Business,3035,2,2,2,1,4,3,3,2,3,4,3,3,48,38.0
dissatisfied,disloyal Customer,28,Business travel,Eco,1904,2,2,2,2,1,2,1,5,1,4,5,2,0,0.0
satisfied,Loyal Customer,58,Personal Travel,Eco,2496,5,5,5,4,4,3,3,4,3,5,3,5,61,102.0
satisfied,Loyal Customer,54,Business travel,Business,3260,5,5,5,2,4,4,4,4,4,4,4,4,1,0.0
dissatisfied,Loyal Customer,25,Business travel,Business,3640,4,2,4,2,2,2,4,4,1,4,3,2,86,63.0
satisfied,Loyal Customer,32,Business travel,Business,1465,4,4,4,5,5,5,3,5,5,3,4,5,36,81.0
dissatisfied,Loyal Customer,52,Business travel,Eco,812,4,4,4,3,4,3,3,3,3,3,3,3,0,0.0
satisfied,disloyal Customer,29,Business travel,Business,2773,4,4,3,1,1,1,4,5,4,5,4,1,0,0.0
satisfied,Loyal Customer,56,Business travel,Business,55,3,3,3,4,5,4,4,4,4,3,4,3,0,0.0
satisfied,Loyal Customer,57,Personal Travel,Eco,1099,2,5,2,4,4,4,4,5,4,4,4,4,0,0.0
satisfied,Loyal Customer,57,Business travel,Business,728,3,3,3,2,5,4,4,4,4,5,4,3,4,0.0
satisfied,Loyal Customer,48,Business travel,Eco,339,5,1,5,3,1,5,5,5,5,2,5,3,0,0.0
satisfied,Loyal Customer,23,Business travel,Business,2074,1,1,1,1,1,1,4,1,5,5,1,1,0,3.0
